scheme_id,scheme_name,sponsoring_body,category,eligible_gender,pwd_only,min_income,max_income,min_age,max_age,states,sector,benefit_type,benefit_amount,subsidy_percentage,description,required_documents,official_url,contact_info
SETU-001,Stand-Up India Scheme,"Department of Financial Services, Ministry of Finance",SC|ST|General|OBC|EWS,All|Female,False,0,-1,18,75,All India,All|Manufacturing|Services|Trade|Agriculture & Allied|Greenfield Enterprises,Loan,Composite bank loan between ₹10 Lakhs and ₹1 Crore for Greenfield Enterprises,0.0,"Facilitates bank loans between ₹10 lakh and ₹1 Crore to at least one Scheduled Caste (SC) or Scheduled Tribe (ST) borrower and at least one woman borrower per bank branch for setting up a greenfield enterprise in manufacturing, services, agri-allied activities, or the trading sector. In case of non-individual enterprises, at least 51% of shareholding and controlling stake should be held by either an SC/ST or woman entrepreneur.",Aadhaar Card|PAN Card|Caste Certificate|Detailed Project Report (DPR)|Bank Account Statement (6 Months)|Land / Rent Agreement of Workplace,https://www.standupmitra.in,National Helpline: 1800-180-1111 / support@standupmitra.in
SETU-002,NSFDC Term Loan Scheme,"National Scheduled Castes Finance and Development Corporation (NSFDC), MoSJE",SC,All|Female|Male|Transgender,False,0,300000,18,65,All India,All|Manufacturing|Services|Trade|Agriculture & Allied,Loan,Concessional credit up to ₹50 Lakhs (up to 95% of project cost) @ 6% to 9% p.a.,0.0,"Provides term loans to Scheduled Caste individuals living below double the poverty line or with family income up to ₹3.00 Lakhs p.a. for viable income-generating projects in manufacturing, service sector, small transport, agriculture, and artisan trades. Repayment duration extends up to 10 years with generous moratorium periods.",Aadhaar Card|PAN Card|Caste Certificate|Income Certificate|Detailed Project Report (DPR)|Bank Account Statement (6 Months),https://nsfdc.nic.in,Toll Free: 1800-11-0301 / support@nsfdc.nic.in
SETU-003,NSTFDC Adivasi Mahila Sashaktikaran Yojana (AMSY),"National Scheduled Tribes Finance and Development Corporation (NSTFDC), Ministry of Tribal Affairs",ST,Female,False,0,300000,18,65,All India,All|Agriculture & Allied|Artisans & Crafts|Services|Food Processing|Textiles,Loan,Concessional micro-credit up to ₹2 Lakhs per beneficiary @ 4% per annum interest,0.0,"Exclusive concessional credit scheme for Scheduled Tribe (ST) women entrepreneurs. Provides loan assistance up to 90% of unit costs up to ₹2 Lakhs for taking up sustainable income-generating ventures like organic farming, handlooms, food processing, eco-tourism, retail shops, and tribal handicraft units.",Aadhaar Card|Caste Certificate|Income Certificate|Bank Account Statement (6 Months),https://nstfdc.tribal.gov.in,NSTFDC Desk: 011-23562415 / nstfdc@tribal.nic.in
SETU-004,PM Vishwakarma Yojana,"Ministry of Micro, Small & Medium Enterprises (MSME)",SC|ST|OBC|General|EWS|DNT|Minority,All|Female|Male|Transgender,False,0,-1,18,75,All India,Artisans & Crafts|Manufacturing|Services,Composite,"₹15,000 modern toolkit incentive + Collateral-free enterprise credit up to ₹3 Lakhs (Tranche 1: ₹1L, Tranche 2: ₹2L) @ 5% interest",8.0,"Holistic end-to-end support for traditional artisans and craftspeople across 18 traditional family trades (carpenters, blacksmiths, potters, cobblers, weavers, tailors, sculptors, etc.). Includes PM Vishwakarma Certificate & ID, basic & advanced skill training with ₹500/day stipend, ₹15,000 modern toolkit grant, concessional collateral-free enterprise credit up to ₹3,00,000, digital transaction cashback, and marketing linkage on GeM.",Aadhaar Card|Bank Account Statement (6 Months)|Skill Training / Artisan Certificate|Business Registration (Udyam),https://pmvishwakarma.gov.in,MSME Champions Helpline: 1800-547-0111 / champions@gov.in
SETU-005,Venture Capital Fund for Scheduled Castes (VCF-SC),IFCI Venture / Ministry of Social Justice & Empowerment,SC,All|Female|Male|Transgender,False,0,-1,18,70,All India,Startups & Tech|Manufacturing|Services|Greenfield Enterprises|Food Processing,Equity,Equity and quasi-equity investment from ₹20 Lakhs up to ₹15 Crores per SC-promoted venture,0.0,"Promotes entrepreneurship among Scheduled Caste entrepreneurs by providing long-term equity, quasi-equity, and debenture financing to innovative technology startups and scaling industrial projects. The enterprise must be at least 51% owned and controlled by SC entrepreneurs for at least 6 months with management control.",Aadhaar Card|PAN Card|Caste Certificate|Detailed Project Report (DPR)|Bank Account Statement (6 Months)|Business Registration (Udyam),https://vcfsc.in,IFCI Venture Desk: 011-41732500 / vcfsc@ifciventure.com
SETU-006,NBCFDC General Term Loan Scheme,"National Backward Classes Finance & Development Corporation (NBCFDC), MoSJE",OBC|DNT,All|Female|Male|Transgender,False,0,300000,18,65,All India,All|Manufacturing|Services|Trade|Agriculture & Allied|Textiles,Loan,Term loan up to ₹15 Lakhs (up to 85% of project cost) @ 6% to 8% interest p.a.,0.0,"Provides concessional financial assistance to Other Backward Classes (OBC) and De-Notified, Nomadic, and Semi-Nomadic Tribes (DNT) living below the annual family income limit of ₹3.00 Lakhs. Covers setup of retail shops, service centers, dairy units, transport vehicles, apparel manufacturing, and light engineering.",Aadhaar Card|PAN Card|Caste Certificate|Income Certificate|Detailed Project Report (DPR)|Bank Account Statement (6 Months),https://nbcfdc.gov.in,NBCFDC Toll Free: 1800-11-2244 / info@nbcfdc.gov.in
SETU-007,NHFDC Self-Employment Scheme for Divyangjan,"National Handicapped Finance and Development Corporation (NHFDC), DEPwD, MoSJE",SC|ST|OBC|General|EWS|DNT|Minority,All|Female|Male|Transgender,True,0,-1,18,65,All India,All|Manufacturing|Services|Trade|Startups & Tech|Artisans & Crafts,Loan,Concessional credit up to ₹25 Lakhs @ 5% to 8% interest p.a. (1% rebate for women with disabilities),0.0,"Provides soft loans to Persons with Disabilities (PwD / Divyangjan with 40% or more certified disability) for starting micro-enterprises, commercial vehicles, IT service hubs, small manufacturing units, and assistive tech retail. Offers flexible repayment up to 10 years and special interest rebate for prompt repayment.",Aadhaar Card|PAN Card|UDID / Disability Certificate|Detailed Project Report (DPR)|Bank Account Statement (6 Months),https://nhfdc.nic.in,NHFDC Helpline: 0129-2226910 / nhfdc97@gmail.com
SETU-008,Prime Minister Employment Generation Programme (PMEGP),"KVIC / Ministry of Micro, Small and Medium Enterprises (MSME)",SC|ST|OBC|General|EWS|DNT|Minority,All|Female|Male|Transgender,False,0,-1,18,75,All India,Manufacturing|Services|Food Processing|Textiles|Trade,Subsidy,Credit-linked capital subsidy up to 35% on manufacturing projects up to ₹50 Lakhs and service units up to ₹20 Lakhs,35.0,"Flagship credit-linked subsidy programme to generate self-employment ventures. Special category beneficiaries (SC, ST, OBC, Minorities, Women, Ex-Servicemen, PwD, North Eastern Region, Hill and Border areas) receive 35% margin money subsidy in rural areas and 25% in urban areas with beneficiary own-contribution of only 5%.",Aadhaar Card|PAN Card|Caste Certificate|Detailed Project Report (DPR)|Bank Account Statement (6 Months)|Skill Training / Artisan Certificate,https://www.kviconline.gov.in,PMEGP Helpdesk: 1800-3000-0034 / pmegp.kvic@gov.in
SETU-009,Pradhan Mantri MUDRA Yojana (PMMY),"MUDRA / Department of Financial Services, Ministry of Finance",SC|ST|OBC|General|EWS|DNT|Minority,All|Female|Male|Transgender,False,0,-1,18,75,All India,All|Manufacturing|Services|Trade|Agriculture & Allied|Food Processing|Micro-Enterprise,Loan,"Collateral-free micro-finance loans in 3 tiers: Shishu (up to ₹50,000), Kishore (₹50,000 to ₹5 Lakhs), Tarun (₹5 Lakhs to ₹10 Lakhs, enhanced to ₹20 Lakhs)",0.0,"Provides collateral-free institutional credit to non-corporate, non-farm small and micro enterprises across manufacturing, trade, services, retail shops, food processing, and allied agricultural activities. Easy processing through public, private, and regional rural banks with no margin money requirement for Shishu loans.",Aadhaar Card|PAN Card|Bank Account Statement (6 Months)|Business Registration (Udyam),https://www.mudra.org.in,MUDRA National Toll Free: 1800-180-1111 / help@mudra.org.in
SETU-010,NSFDC Mahila Samriddhi Yojana,"National Scheduled Castes Finance and Development Corporation (NSFDC), MoSJE",SC,Female,False,0,300000,18,65,All India,All|Artisans & Crafts|Agriculture & Allied|Services|Food Processing|Textiles|Micro-Enterprise,Loan,"Micro-credit up to ₹1,40,000 per woman beneficiary @ 4% per annum interest",0.0,"Targeted micro-credit scheme for Scheduled Caste women living below double poverty line or annual household income under ₹3.00 Lakhs. Channelled through State Channelising Agencies (SCAs), Regional Rural Banks, and Nationalised Banks to promote self-help groups, tailoring, dairy farming, weaving, and petty shops.",Aadhaar Card|Caste Certificate|Income Certificate|Bank Account Statement (6 Months),https://nsfdc.nic.in,NSFDC Women Cell: 011-22054391 / msy@nsfdc.nic.in
